pixel_area,pixel_height,real_height_cm,actual_weight_kg
112341.5,600,165.1,63.50288
34030.0,355,165.1,68.0388
116355.0,583,165.1,72.57472
98421.0,600,165.1,77.11064
113711.5,600,165.1,81.64656
86994.0,600,165.1,86.18248
59345.5,561,165.1,90.7184
64544.0,322,165.1,95.25432
189542.5,600,165.1,99.79024
163607.0,600,165.1,104.32616
146247.0,503,165.1,108.86208
169178.0,563,165.1,113.398
168030.5,600,165.1,117.93392
157137.0,501,165.1,122.46984
131448.0,567,165.1,136.0776
82950.5,530,165.1,40.82328
95899.5,541,167.64,45.3592
132849.5,421,167.64,49.89512
177205.5,571,167.64,54.43104
247986.0,600,167.64,58.96696
121511.5,453,167.64,63.50288
126773.0,600,167.64,68.0388
30939.5,311,167.64,72.57472
86382.5,582,167.64,77.11064
31655.5,242,167.64,81.64656
77104.0,561,167.64,86.18248
66194.0,422,167.64,90.7184
171456.0,600,167.64,95.25432
68677.0,333,167.64,99.79024
89899.5,600,167.64,104.32616
190905.0,598,167.64,108.86208
107354.0,600,167.64,113.398
153337.0,600,167.64,117.93392
126842.0,512,167.64,122.46984
81033.5,323,167.64,127.00576
162896.5,600,167.64,136.0776
122709.5,579,167.64,149.68536
139106.5,496,167.64,40.82328
70060.5,555,170.18,45.3592
132503.0,415,170.18,49.89512
16663.0,507,170.18,54.43104
157876.0,600,170.18,58.96696
170391.0,600,170.18,63.50288
49559.0,221,170.18,68.0388
97812.5,292,170.18,72.57472
75830.5,440,170.18,77.11064
207120.0,561,170.18,81.64656
34513.5,312,170.18,86.18248
77875.5,472,170.18,90.7184
66714.5,566,170.18,95.25432
113745.0,588,170.18,99.79024
128240.0,582,170.18,104.32616
31273.5,290,170.18,108.86208
104469.5,571,170.18,113.398
234848.0,600,170.18,117.93392
120499.5,361,170.18,122.46984
233155.0,600,170.18,127.00576
167194.0,510,170.18,140.61352
111372.5,480,170.18,145.14944
128468.5,493,170.18,167.82904
116027.0,521,170.18,172.36496
36156.0,480,170.18,40.82328
121517.0,529,172.72,45.3592
111007.0,562,172.72,49.89512
141159.5,600,172.72,54.43104
94151.0,600,172.72,58.96696
109398.5,419,172.72,63.50288
155135.0,600,172.72,68.0388
156169.0,600,172.72,72.57472
70721.0,579,172.72,77.11064
124703.0,600,172.72,81.64656
162478.0,559,172.72,86.18248
144258.5,600,172.72,90.7184
102396.5,592,172.72,95.25432
118359.0,573,172.72,99.79024
93177.5,577,172.72,104.32616
73404.5,391,172.72,108.86208
81830.5,334,172.72,113.398
79482.0,600,172.72,117.93392
106504.5,583,172.72,122.46984
167785.5,565,172.72,127.00576
160234.5,433,172.72,131.54168
146429.5,577,172.72,136.0776
205944.0,600,172.72,149.68536
170875.5,582,172.72,158.7572
85160.5,595,172.72,176.90088
162924.0,600,175.26,45.3592
137297.5,480,175.26,49.89512
109601.0,600,175.26,54.43104
157867.5,600,175.26,58.96696
73974.5,558,175.26,63.50288
143983.5,587,175.26,68.0388
158112.5,496,175.26,72.57472
194248.5,600,175.26,77.11064
105191.0,482,175.26,81.64656
169893.0,550,175.26,86.18248
68586.0,568,175.26,90.7184
79350.5,464,175.26,95.25432
165140.5,600,175.26,99.79024
137614.0,581,175.26,104.32616
124282.5,600,175.26,108.86208
149582.0,561,175.26,113.398
108378.5,560,175.26,117.93392
193547.0,600,175.26,122.46984
192294.0,600,175.26,136.0776
237694.5,600,175.26,140.61352
134603.5,404,175.26,145.14944
147462.5,600,182.88,54.43104
73772.5,576,182.88,58.96696
127292.0,600,182.88,63.50288
139912.5,527,182.88,68.0388
68985.0,323,182.88,72.57472
43307.5,281,182.88,77.11064
87469.5,579,182.88,81.64656
121920.0,600,182.88,86.18248
63648.5,512,182.88,90.7184
238998.0,600,182.88,95.25432
36997.0,391,182.88,99.79024
94927.5,417,182.88,104.32616
77194.5,584,182.88,108.86208
142300.5,576,182.88,113.398
187483.0,600,182.88,117.93392
108921.0,373,182.88,122.46984
65723.5,391,182.88,127.00576
58708.0,570,182.88,131.54168
215768.5,600,182.88,136.0776
