shoulder_torso_ratio,hip_torso_ratio,shoulder_hip_ratio,height,weight,gender,age
0.5654049455113932,0.34883775522401367,1.6208249739146106,176.784,57.0,1,35
0.606883997324511,0.4004576019225084,1.5154762811618387,155.44799999999998,73.0,0,26
0.47583217100183345,0.32116125992963895,1.4815989048806208,170.688,56.0,1,35
0.6789105593895963,0.4163775389008962,1.6305167689441258,170.688,56.0,1,32
0.6332604197271929,0.3832225546936638,1.6524612447025768,179.83200000000002,58.0,1,29
0.6374979521930488,0.3729604384997299,1.7092910839483328,164.592,56.0,1,41
0.6134152886681756,0.3935190699694425,1.5587943138710112,176.784,64.0,0,27
0.5665459119746623,0.4403286549693776,1.2866432960490894,155.44799999999998,43.0,1,34
0.5614258895320273,0.41499959410348375,1.3528347919107382,170.688,43.0,1,40
0.6153230599076646,0.3840087259901561,1.602367389754154,170.688,54.0,1,37
